steamid,playtime_forever,achievement_count,category_activity_pca_recalc,player_type
76561198333940820,416,0,-2.7426462184955027,0
76561197996143905,267,0,-2.7426462184955027,0
76561198033586126,26229,35,2.9859025117942375,1
76561197985450983,1414,21,0.5975493962876988,1
76561198009108702,6129,37,3.4460121962248484,1
76561198024926277,140,6,-1.865463264179041,0
76561197961864608,11417,38,3.521295173786279,1
76561198178654229,187,0,-2.7426462184955027,0
76561198041100695,2509,21,0.5744235735326334,1
76561198040779532,331,0,-2.7426462184955027,0
76561198371608856,952,3,-2.0665321539929873,0
76561198142797852,3160,26,1.5989478220650015,1
76561198150058321,2745,5,-2.1006167744602613,0
76561197961621019,282,0,-2.7426462184955027,0
76561197979667190,141,0,-2.7426462184955027,0
76561198034493521,1131,15,-0.4064137641169119,0
76561197986775284,7691,24,1.0430270302655786,1
76561197962838085,38,0,-2.7426462184955027,0
76561197994575642,352,0,-2.7426462184955027,0
76561198010545064,8779,43,4.472595531198561,1
76561197966617426,839,9,-1.535789118711241,0
76561198219343843,581,0,-2.7426462184955027,0
76561198027616389,13691,35,3.0609053505997164,1
76561198046978149,4480,26,1.430339240635541,1
76561197971348591,2593,0,-2.7426462184955027,0
76561197978965270,13612,43,4.472595531198561,1
76561198035839569,152,0,-2.7426462184955027,0
76561198017069455,47677,43,4.472595531198561,1
76561198019685200,255,0,-2.7426462184955027,0
76561198853553821,2027,20,0.5671529661346195,1
76561198116820015,2433,43,4.472595531198561,1
76561198117359053,15457,43,4.472595531198561,1
76561198014069772,8998,29,1.902939577274534,1
76561198142453927,278,0,-2.7426462184955027,0
76561198049323874,25739,38,3.4849692709798674,1
76561198026840458,1453,19,0.3069392856975027,0
76561198339757453,165,10,-1.05039057963913,0
76561198125238941,181,5,-2.067051617972996,0
76561197993891197,9428,38,3.607650462600996,1
76561198139094658,624,10,-1.12705004420873,0
76561198027177776,396,4,-2.2813636482444393,0
76561198162722657,2330,16,-0.4559433411192312,0
76561198082831860,3786,25,1.5230097214843872,1
76561198118369799,290,11,-0.9853803558369756,0
76561198044196794,475,8,-1.672489135646007,0
76561198064728961,17229,35,3.035474421654953,1
76561198152370841,87,2,-2.444307935184589,0
76561198061305249,237,6,-1.897190254337332,0
76561198179319487,19974,41,4.127329567833235,1
76561198065892602,618,9,-1.3295909467697622,0
76561197972436190,187,8,-1.6614944203394912,0
76561198058007685,477,0,-2.7426462184955027,0
76561197996919908,1069,21,0.6438620749174572,1
76561198061981757,10149,28,1.755813250693714,1
76561198027845176,782,0,-2.7426462184955027,0
76561198028385225,15453,43,4.472595531198561,1
76561197989858849,1735,17,0.0256887571859809,0
76561198978667010,677,4,-2.2395753944976566,0
76561198024981381,661,14,-0.4386352438356963,0
76561198052442092,1858,22,0.900261212877071,1
76561198015723798,790,0,-2.7426462184955027,0
76561198044371709,9276,43,4.472595531198561,1
76561198082038951,6008,30,2.003328960524452,1
76561198102215048,1791,16,-0.3472588293136434,0
76561198117913848,2176,27,1.9288564911983836,1
76561198026478759,72681,43,4.472595531198561,1
76561198869754826,7711,43,4.472595531198561,1
76561198051194713,2416,0,-2.7426462184955027,0
76561197985946541,426,16,-0.1195440123497722,0
76561198037510530,806,13,-0.7128659395293404,0
76561198001468649,392,0,-2.7426462184955027,0
76561197991133436,1158,17,-0.2075365124288655,0
76561197979077108,2435,3,-2.344426500559617,0
76561198031837797,441,0,-2.7426462184955027,0
76561198019521530,4473,24,1.084815284012361,1
76561198044602606,603,0,-2.7426462184955027,0
76561197979934386,1485,18,0.1652695973257481,0
76561198022108970,187,5,-2.144663631309673,0
76561198187410553,2200,23,0.9145370865041836,1
76561197999343610,165,0,-2.7426462184955027,0
76561198005871916,3346,43,4.472595531198561,1
76561198092221120,7679,43,4.472595531198561,1
76561198026564874,412,0,-2.7426462184955027,0
76561198014882529,536,13,-0.5780941632609482,0
76561198066184606,30,0,-2.7426462184955027,0
76561198043898087,522,0,-2.7426462184955027,0
76561198036229561,3060,43,4.472595531198561,1
76561197974283794,299,0,-2.7426462184955027,0
76561198030888094,3483,25,1.343703813064873,1
76561197992943381,1990,23,1.081678408474225,1
76561197996710217,71,0,-2.7426462184955027,0
76561197966170666,577,3,-2.4430019146205866,0
76561198036102917,898,11,-0.8887523132629825,0
76561198046242117,312,0,-2.7426462184955027,0
76561198286311746,991,0,-2.7426462184955027,0
76561198028421529,3428,1,-2.4684155228018585,0
76561198079772364,129,0,-2.7426462184955027,0
76561198135737269,12546,43,4.472595531198561,1
76561198864851315,241,0,-2.7426462184955027,0
76561198028070463,244,0,-2.7426462184955027,0
76561198002734128,18426,30,2.054718363390907,1
76561197967449126,196,10,-1.0762144466424084,0
76561197994553754,340,10,-1.264580722967608,0
76561198004611129,36644,43,4.472595531198561,1
76561197993621828,7779,33,2.6617200260390583,1
76561198053475768,3945,43,4.472595531198561,1
76561198011799876,5703,17,-0.0312398798732166,0
76561197980993256,5108,29,1.924436328384183,1
76561197993525512,495,0,-2.7426462184955027,0
76561197989293848,9156,34,3.133928096853645,1
76561199053439300,222,9,-1.2928942851744831,0
76561198100398836,10081,43,4.472595531198561,1
76561198027512879,4568,43,4.472595531198561,1
76561198115009354,37915,43,4.472595531198561,1
76561198083542059,753,11,-1.061154202844678,0
76561198007881182,459,0,-2.7426462184955027,0
76561197995165956,30939,43,4.472595531198561,1
76561198041885150,133,0,-2.7426462184955027,0
76561197990106384,18483,33,2.5773576978320274,1
76561198263705541,7331,37,3.4926850026734333,1
76561198406771630,9679,43,4.472595531198561,1
76561198123176874,8438,43,4.472595531198561,1
76561199108437662,151,0,-2.7426462184955027,0
76561198015279263,454,0,-2.7426462184955027,0
76561198237826136,92,4,-2.1409999804366873,0
76561198023116710,6159,43,4.472595531198561,1
76561198036709917,592,11,-1.008060002175727,0
76561198026157552,8455,40,4.005390706971883,1
76561198007802153,579,0,-2.7426462184955027,0
76561198862408744,37798,43,4.472595531198561,1
