,steamid,playtime_forever,achievement_count,crafting_count,player_killer_count,combat_count,exploration_count,death_count,leveling_count,survival_count,efficiency_score,max_survive_minutes,max_items_crafted,max_zombie_kills,max_player_kills,max_travel,max_level,max_fortitude,max_die_times,combat_count_ratio,crafting_count_ratio,exploration_count_ratio,survival_count_ratio,death_count_ratio,player_killer_count_ratio,leveling_count_ratio
1791,76561198004047552,9353,42,8,4,11,5,4,5,5,0.004490537795359777,1680,5000,2500,25,250,300,10,28,0.2619047619047619,0.19047619047619047,0.11904761904761904,0.11904761904761904,0.09523809523809523,0.09523809523809523,0.11904761904761904
1792,76561197994490484,487,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1793,76561198058925468,418,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1794,76561198396994655,1595,25,5,1,9,5,1,2,2,0.01567398119122257,180,50,500,1,1000,28,10,1,0.36,0.2,0.2,0.08,0.04,0.04,0.08
1795,76561197979230085,395,10,5,0,0,0,0,5,0,0.02531645569620253,0,50,0,0,0,300,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
1796,76561198000257721,442,5,3,0,1,0,1,0,0,0.011312217194570135,0,0,0,0,0,0,0,1,0.2,0.6,0.0,0.0,0.2,0.0,0.0
1797,76561198025693599,621,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1798,76561198062227632,4821,30,8,0,8,4,3,3,4,0.006222775357809583,600,5000,2500,0,250,70,4,14,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.1,0.0,0.1
1799,76561199156984115,3957,24,6,0,6,4,4,2,2,0.006065200909780136,180,500,500,0,250,28,0,28,0.25,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333
1800,76561197960292807,82,6,3,0,2,0,1,0,0,0.07317073170731707,0,0,10,0,0,0,0,1,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.0
