steamid,cluster,best_k,silhouette
76561197967303226,1,4,0.19478530330569416
76561197967370369,1,4,0.19478530330569416
76561197967449126,1,4,0.19478530330569416
76561197967503679,1,4,0.19478530330569416
76561197967540452,1,4,0.19478530330569416
76561197967576247,1,4,0.19478530330569416
76561197967578704,1,4,0.19478530330569416
76561197967628180,1,4,0.19478530330569416
76561197968152343,3,4,0.19478530330569416
76561197968511678,1,4,0.19478530330569416
76561197968658003,1,4,0.19478530330569416
76561197968671893,1,4,0.19478530330569416
76561197969052165,1,4,0.19478530330569416
76561197969100147,1,4,0.19478530330569416
76561197969158018,1,4,0.19478530330569416
76561197969171432,1,4,0.19478530330569416
76561197969226943,1,4,0.19478530330569416
76561197969362616,1,4,0.19478530330569416
76561197969371254,1,4,0.19478530330569416
76561197969382396,1,4,0.19478530330569416
76561197969417973,1,4,0.19478530330569416
76561197969430536,1,4,0.19478530330569416
76561197969604501,1,4,0.19478530330569416
76561197969773091,1,4,0.19478530330569416
76561197969894772,2,4,0.19478530330569416
76561197969915893,1,4,0.19478530330569416
76561197969934583,1,4,0.19478530330569416
76561197969991065,1,4,0.19478530330569416
76561197970236696,1,4,0.19478530330569416
76561197970259762,1,4,0.19478530330569416
76561197970307937,1,4,0.19478530330569416
76561197970312414,1,4,0.19478530330569416
76561197970322382,1,4,0.19478530330569416
76561197970337436,1,4,0.19478530330569416
76561197970339633,1,4,0.19478530330569416
76561197970340464,1,4,0.19478530330569416
76561197970343967,1,4,0.19478530330569416
76561197970356119,1,4,0.19478530330569416
76561197970377585,1,4,0.19478530330569416
76561197970389924,1,4,0.19478530330569416
76561197970398878,3,4,0.19478530330569416
76561197970417670,1,4,0.19478530330569416
76561197970423195,1,4,0.19478530330569416
76561197970435029,1,4,0.19478530330569416
76561197970461293,1,4,0.19478530330569416
76561197970479807,1,4,0.19478530330569416
76561197970493829,1,4,0.19478530330569416
76561197970532816,1,4,0.19478530330569416
76561197970538611,1,4,0.19478530330569416
76561197970539317,1,4,0.19478530330569416
76561197970590608,1,4,0.19478530330569416
76561197970603931,1,4,0.19478530330569416
76561197970675024,1,4,0.19478530330569416
76561197970675272,3,4,0.19478530330569416
76561197970724214,1,4,0.19478530330569416
76561197970761123,1,4,0.19478530330569416
76561197970767462,1,4,0.19478530330569416
76561197970791672,1,4,0.19478530330569416
76561197970792411,1,4,0.19478530330569416
76561197970799580,1,4,0.19478530330569416
76561197970812258,1,4,0.19478530330569416
76561197970831374,1,4,0.19478530330569416
76561197970838485,1,4,0.19478530330569416
76561197970850127,1,4,0.19478530330569416
76561197970862067,1,4,0.19478530330569416
76561197970897249,1,4,0.19478530330569416
76561197970964921,1,4,0.19478530330569416
76561197971006744,1,4,0.19478530330569416
76561197971044263,1,4,0.19478530330569416
76561197971102284,1,4,0.19478530330569416
76561197971110737,1,4,0.19478530330569416
76561197971115174,1,4,0.19478530330569416
76561197971143071,1,4,0.19478530330569416
