steamid,playtime_forever,achievement_count,efficiency_score,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count,category_activity_mean,category_activity_pca,abnormal_behavior_flag
76561198024926277,140,6,0.0428571428571428,1,0,4,0,0,0,0,0,1,1.2,-12.686491203021264,0
76561198159216159,297,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198054004608,2110,43,0.0203791469194312,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197997946137,439,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198079772364,129,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197993579927,5231,32,0.0061173771745364,2,4,7,4,3,4,0,4,4,6.4,14.762542438335831,0
76561198339323993,215,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198023327915,176,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198080349814,489358,43,8.787022997478329e-05,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198001873585,309,2,0.0064724919093851,1,0,0,0,0,0,0,0,1,0.4,-17.158223580067176,0
76561198971959226,800,13,0.01625,2,0,5,2,1,1,0,1,1,2.6,-5.2979209015258455,0
76561198058291396,559,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561199257765441,1395,43,0.0308243727598566,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198042773556,21093,43,0.0020385910017541,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198187410553,2200,23,0.0104545454545454,1,0,7,4,2,4,0,2,3,4.6,5.385277374666192,0
76561198000413287,484,6,0.012396694214876,2,0,1,2,1,0,0,0,0,1.2,-12.92271336014996,0
76561198048285800,254,43,0.1692913385826771,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198032591844,888,7,0.0078828828828828,0,0,4,1,0,1,0,0,1,1.4,-11.601823016987163,0
76561198843434426,1032,16,0.0155038759689922,2,0,5,3,2,1,0,1,2,3.2,-2.149138118952308,0
76561197976602082,6935,26,0.003749098774333,1,0,7,3,3,4,1,3,4,5.2,8.538686009014036,0
76561198352272979,3365,43,0.012778603268945,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197971204006,588,4,0.0068027210884353,1,0,3,0,0,0,0,0,0,0.8,-14.841593590660567,0
76561198004006226,517,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198994062628,2430,43,0.0176954732510288,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198060410834,2671,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198407772607,183,43,0.2349726775956284,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198034096440,5330,43,0.0080675422138836,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198041298094,744,18,0.0241935483870967,2,4,5,2,1,1,0,1,2,3.6,-0.1185616799353432,0
76561198207088253,222,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198043828654,438,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197997112174,255,3,0.0117647058823529,0,0,1,1,0,0,0,0,1,0.6,-16.016443337254838,0
76561198368799839,456,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198995500311,1152,43,0.0373263888888888,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198007609033,535,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198102700771,13381,43,0.0032135116956879,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198023116710,6159,43,0.0069816528657249,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198062505918,4190,7,0.0016706443914081,0,0,5,1,0,0,0,0,1,1.4,-11.544710960208928,0
76561197990233857,505,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561199141671103,399,43,0.1077694235588972,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198059307202,27552,43,0.0015606852497096,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197998096051,4598,43,0.0093518921270117,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198058416969,6412,43,0.0067061759201497,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561199208306587,649,43,0.0662557781201849,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198074783710,5905,41,0.0069432684165961,3,4,8,4,5,5,4,5,3,8.2,24.19123153584957,0
76561198049840570,12744,43,0.0033741368487131,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198133918114,2723,20,0.0073448402497245,1,1,5,4,2,4,0,1,2,4.0,2.0927196241014485,0
76561197982946417,262,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197999659168,786,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198035780173,455,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198025146852,154,5,0.0324675324675324,0,0,4,1,0,0,0,0,0,1.0,-13.699813347848233,0
76561198011389008,24698,43,0.0017410316624827,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198000711279,204,6,0.0294117647058823,0,0,2,0,1,1,0,1,1,1.2,-12.737986043985975,0
76561198057329243,140,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198162399308,1210,1,0.0008264462809917,1,0,0,0,0,0,0,0,0,0.2,-18.195392873445,0
76561198049291468,1037,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198055326676,420,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197993279741,72,4,0.0555555555555555,0,0,4,0,0,0,0,0,0,0.8,-14.733303387042586,0
76561198120468864,49233,18,0.0003656084333678,1,0,6,3,2,2,0,2,2,3.6,0.075042872866053,0
76561198200337814,13000,43,0.0033076923076923,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198102380468,10122,42,0.0041493775933609,3,4,8,4,6,4,4,5,4,8.4,25.24570324174552,0
76561198059373650,188,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197977010834,517,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198161507346,2370,43,0.0181434599156118,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198161310076,333,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198160320827,5288,23,0.0043494704992435,1,1,6,2,3,3,0,4,3,4.6,5.363353598021568,0
76561198076917180,6866,38,0.0055345179143606,3,4,7,4,4,4,4,4,4,7.6,20.916453496764188,0
76561198173819274,12472,43,0.0034477228992944,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198009474997,3035,43,0.0141680395387149,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198187763739,812,43,0.0529556650246305,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198007759830,74,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198165492519,229,43,0.1877729257641921,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198049211014,523,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197981111953,139,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198870916350,4376,43,0.0098263254113345,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198821184379,91046,43,0.0004722887331678,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561199053439300,222,9,0.0405405405405405,2,0,5,1,0,0,0,0,1,1.8,-9.52542517892194,0
76561198249392362,403,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198121098268,24749,43,0.0017374439371287,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198041689171,2575,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197974925353,8053,34,0.0042220290574941,2,4,8,4,3,5,0,4,4,6.8,16.94129657008055,0
76561198130370824,475,15,0.031578947368421,1,0,2,4,4,0,4,0,0,3.0,-3.446928010355691,0
76561198001500827,22654,43,0.0018981195373885,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198350365789,4887,43,0.0087988541027215,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198000000375,964,4,0.0041493775933609,0,0,3,1,0,0,0,0,0,0.8,-14.817746442109708,0
76561198015859524,2304,43,0.0186631944444444,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198026716698,344,5,0.0145348837209302,0,0,3,1,0,0,0,0,1,1.0,-13.780577148731885,0
76561198858649255,2145,43,0.02004662004662,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198404991183,127,43,0.3385826771653543,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198065617084,426,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198081257465,507,4,0.0078895463510848,0,0,3,1,0,0,0,0,0,0.8,-14.817746442109708,0
76561198019184877,547,43,0.0786106032906764,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198119650667,4635,43,0.0092772384034519,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198019621629,11955,31,0.0025930572982015,2,1,8,4,3,5,0,4,4,6.2,13.834654123921045,0
