steamid,playtime_forever,achievement_count,efficiency_score,efficiency_per_10h,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,max_survive_minutes_intensity,max_items_crafted_intensity,max_zombies_killed_intensity,max_players_killed_intensity,max_fortitude_skill_intensity,max_travel_distance_intensity,max_death_count_intensity,max_character_level_intensity,max_survive_minutes_intensity_norm,max_items_crafted_intensity_norm,max_zombies_killed_intensity_norm,max_players_killed_intensity_norm,max_fortitude_skill_intensity_norm,max_travel_distance_intensity_norm,max_death_count_intensity_norm,max_character_level_intensity_norm,combat_count,combat_percent,combat_skill_count,combat_skill_percent,crafting_count,crafting_percent,death_count,death_percent,exploration_count,exploration_percent,leveling_count,leveling_percent,player_killer_count,player_killer_percent,survival_count,survival_percent,zombie_killer_count,zombie_killer_percent,playtime_outlier,impossible_survival,zero_achieve_high_playtime,suspect_flag
76561198000388603,22470,32,0.0014241210502892,0.8544726301735648,1680,5000,500,0,8,1000,1,300,5,5,4,1,4,5,2,6,1.0,1.0,0.75,0.0,0.75,1.0,0.25,1.0,2,0.0625,3,0.09375,8,0.25,1,0.03125,6,0.1875,5,0.15625,0,0.0,4,0.125,3,0.09375,False,False,False,False
76561198025111129,188,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561197995281961,570,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561199158305270,7187,43,0.0059830249060804,3.589814943648254,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0697674418604651,4,0.0930232558139534,8,0.1860465116279069,4,0.0930232558139534,6,0.1395348837209302,5,0.1162790697674418,4,0.0930232558139534,5,0.1162790697674418,4,0.0930232558139534,False,False,False,False
76561198006766715,11189,40,0.003574939672893,2.144963803735812,1680,5000,2500,25,10,50,14,300,5,5,5,5,5,3,4,6,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,3,0.075,4,0.1,8,0.2,3,0.075,4,0.1,5,0.125,4,0.1,5,0.125,4,0.1,False,False,False,False
76561198018254158,19566,43,0.0021976898701829,1.3186139221097823,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0697674418604651,4,0.0930232558139534,8,0.1860465116279069,4,0.0930232558139534,6,0.1395348837209302,5,0.1162790697674418,4,0.0930232558139534,5,0.1162790697674418,4,0.0930232558139534,False,False,False,False
76561198033624455,38,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561197976469696,13286,29,0.0021827487580912,1.3096492548547345,180,5000,500,0,8,250,1,300,3,5,4,1,4,4,2,6,0.5,1.0,0.75,0.0,0.75,0.75,0.25,1.0,2,0.0689655172413793,3,0.1034482758620689,8,0.2758620689655172,1,0.0344827586206896,5,0.1724137931034483,5,0.1724137931034483,0,0.0,2,0.0689655172413793,3,0.1034482758620689,False,False,False,False
76561197994575642,352,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561198067208458,529,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561198197031430,253,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561198025618418,9321,37,0.0039695311661838,2.3817186997103317,1680,5000,2500,0,10,1000,28,140,5,5,5,1,5,5,5,5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8,3,0.081081081081081,4,0.1081081081081081,8,0.2162162162162162,4,0.1081081081081081,6,0.1621621621621621,4,0.1081081081081081,0,0.0,4,0.1081081081081081,4,0.1081081081081081,False,False,False,False
76561198047414009,3730,33,0.0088471849865951,5.3083109919571045,600,5000,500,0,10,250,28,70,4,5,4,1,5,4,5,4,0.75,1.0,0.75,0.0,1.0,0.75,1.0,0.6,3,0.0909090909090909,4,0.1212121212121212,8,0.2424242424242424,4,0.1212121212121212,5,0.1515151515151515,3,0.0909090909090909,0,0.0,3,0.0909090909090909,3,0.0909090909090909,False,False,False,False
76561198344068866,2555,43,0.0168297455968688,10.09784735812133,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0697674418604651,4,0.0930232558139534,8,0.1860465116279069,4,0.0930232558139534,6,0.1395348837209302,5,0.1162790697674418,4,0.0930232558139534,5,0.1162790697674418,4,0.0930232558139534,False,False,False,False
76561198081999502,22734,43,0.0018914401337204,1.1348640802322512,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0697674418604651,4,0.0930232558139534,8,0.1860465116279069,4,0.0930232558139534,6,0.1395348837209302,5,0.1162790697674418,4,0.0930232558139534,5,0.1162790697674418,4,0.0930232558139534,False,False,False,False
76561198153525620,10724,43,0.0040096978739276,2.4058187243565836,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0697674418604651,4,0.0930232558139534,8,0.1860465116279069,4,0.0930232558139534,6,0.1395348837209302,5,0.1162790697674418,4,0.0930232558139534,5,0.1162790697674418,4,0.0930232558139534,False,False,False,False
76561198275649621,3225,43,0.0133333333333333,8.0,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0697674418604651,4,0.0930232558139534,8,0.1860465116279069,4,0.0930232558139534,6,0.1395348837209302,5,0.1162790697674418,4,0.0930232558139534,5,0.1162790697674418,4,0.0930232558139534,False,False,False,False
76561197990481530,361,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561198217979953,347,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561198041885150,133,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561197962838085,38,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561198081008157,390,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561197989446733,47560,43,0.0009041211101766,0.5424726661059714,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0697674418604651,4,0.0930232558139534,8,0.1860465116279069,4,0.0930232558139534,6,0.1395348837209302,5,0.1162790697674418,4,0.0930232558139534,5,0.1162790697674418,4,0.0930232558139534,False,False,False,False
76561198057078777,8138,43,0.005283853526665,3.170312115999017,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0697674418604651,4,0.0930232558139534,8,0.1860465116279069,4,0.0930232558139534,6,0.1395348837209302,5,0.1162790697674418,4,0.0930232558139534,5,0.1162790697674418,4,0.0930232558139534,False,False,False,False
76561197967540452,1490,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561198083142373,716,3,0.0041899441340782,2.5139664804469275,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,False,False,False
76561198024926277,140,6,0.0428571428571428,25.714285714285715,0,50,10,0,0,0,0,0,1,2,2,1,1,1,1,1,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1,0.1666666666666666,0,0.0,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1666666666666666,False,False,False,False
