steamid,playtime_forever,achievement_count,efficiency_score,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,playtime_outlier,impossible_survival,zero_achieve_high_playtime,suspect_flag,max_activity_mean,max_activity_pca
76561198115009354,37915,43,0.0011341157853092,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197979667190,141,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197966690560,28039,43,0.001533578230322,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198433683621,38249,39,0.0010196345002483,1680,5000,2500,5,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198323009493,32889,43,0.0013074280154458,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198087089368,455,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197995828394,1146,27,0.0235602094240837,180,50,100,25,8,50,28,70,False,False,False,False,-0.5524299091846013,-1.1042074077160404
76561198236381260,11879,43,0.0036198333193029,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198092042574,539,43,0.0797773654916512,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198022898802,4528,43,0.0094964664310954,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198011979289,386,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198167940370,6290,20,0.0031796502384737,180,50,100,1,0,50,28,28,False,False,False,False,-0.6328323706293844,-1.2650816615110474
76561197969417973,4907,43,0.0087629916445893,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561197985841875,194,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561199024473554,418,43,0.1028708133971291,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198033808029,272,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198094413234,3492,43,0.0123138602520045,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198335061024,454,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197970389924,39861,43,0.0010787486515641,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198040178115,397,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198353518467,6941,43,0.006195072756087,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198051177321,1459,13,0.0089102124742974,180,500,10,0,0,10,1,7,False,False,False,False,-0.6435868492828174,-1.287779267081659
76561198083787826,201888,43,0.0002129893802504,1680,5000,2500,25,10,1000,28,300,True,False,False,True,1.460136185838347,2.9204202322364647
76561198046878168,359,2,0.0055710306406685,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198000388603,22470,32,0.0014241210502892,1680,5000,500,0,8,1000,1,300,False,False,False,False,1.022405933361832,2.0392984641032164
76561198174102790,383,43,0.1122715404699739,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198025111129,188,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197995281961,570,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561199158305270,7187,43,0.0059830249060804,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198006766715,11189,40,0.003574939672893,1680,5000,2500,25,10,50,14,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198018254158,19566,43,0.0021976898701829,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
76561198033624455,38,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561197976469696,13286,29,0.0021827487580912,180,5000,500,0,8,250,1,300,False,False,False,False,0.5160060826713111,1.0242850122288465
76561197994575642,352,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198067208458,529,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198840301773,1619,43,0.0265596046942557,1680,5000,2500,25,10,1000,28,300,False,True,False,True,1.460136185838347,2.9204202322364647
76561198197031430,253,0,0.0,0,0,0,0,0,0,0,0,False,False,False,False,-0.7745490189026393,-1.5490099778829598
76561198025618418,9321,37,0.0039695311661838,1680,5000,2500,0,10,1000,28,140,False,False,False,False,1.153841094620126,2.3075659320650095
76561198047414009,3730,33,0.0088471849865951,600,5000,500,0,10,250,28,70,False,False,False,False,0.21749884723846427,0.4275107222572029
76561198344068866,2555,43,0.0168297455968688,1680,5000,2500,25,10,1000,28,300,False,False,False,False,1.460136185838347,2.9204202322364647
