steamid,playtime_forever,achievement_count,efficiency_score,efficiency_per_10h,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,max_survive_minutes_intensity,max_items_crafted_intensity,max_zombies_killed_intensity,max_players_killed_intensity,max_fortitude_skill_intensity,max_travel_distance_intensity,max_death_count_intensity,max_character_level_intensity,max_survive_minutes_intensity_norm,max_items_crafted_intensity_norm,max_zombies_killed_intensity_norm,max_players_killed_intensity_norm,max_fortitude_skill_intensity_norm,max_travel_distance_intensity_norm,max_death_count_intensity_norm,max_character_level_intensity_norm,combat_count,combat_percent,combat_skill_count,combat_skill_percent,crafting_count,crafting_percent,death_count,death_percent,exploration_count,exploration_percent,leveling_count,leveling_percent,player_killer_count,player_killer_percent,survival_count,survival_percent,zombie_killer_count,zombie_killer_percent
76561198020746864,463,5,0.01079913606911447,6.479481641468682,0,0,0,0,0,1000,1,0,1,1,1,1,1,5,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0,0.0,0,0.0,0,0.0,1,0.2,4,0.8,0,0.0,0,0.0,0,0.0,0,0.0
76561198036348117,50672,43,0.0008485948847489738,0.5091569308493843,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.06976744186046512,4,0.09302325581395349,8,0.18604651162790697,4,0.09302325581395349,6,0.13953488372093023,5,0.11627906976744186,4,0.09302325581395349,5,0.11627906976744186,4,0.09302325581395349
76561197969915893,752,2,0.0026595744680851063,1.5957446808510638,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561197971110737,26897,30,0.0011153660259508496,0.6692196155705097,180,5000,2500,0,6,250,7,140,3,5,5,1,3,4,3,5,0.5,1.0,1.0,0.0,0.5,0.75,0.5,0.8,2,0.06666666666666667,2,0.06666666666666667,8,0.26666666666666666,2,0.06666666666666667,5,0.16666666666666666,4,0.13333333333333333,0,0.0,3,0.1,4,0.13333333333333333
76561198853788453,1553,23,0.014810045074050225,8.886027044430135,180,50,500,0,4,50,28,70,3,2,4,1,2,3,5,4,0.5,0.25,0.75,0.0,0.25,0.5,1.0,0.6,2,0.08695652173913043,1,0.043478260869565216,5,0.21739130434782608,4,0.17391304347826086,3,0.13043478260869565,3,0.13043478260869565,0,0.0,2,0.08695652173913043,3,0.13043478260869565
76561198077444730,4514,30,0.00664599025254763,3.9875941515285778,600,1500,500,25,4,50,28,70,4,4,4,5,2,3,5,4,0.75,0.75,0.75,1.0,0.25,0.5,1.0,0.6,1,0.03333333333333333,1,0.03333333333333333,7,0.23333333333333334,4,0.13333333333333333,4,0.13333333333333333,3,0.1,4,0.13333333333333333,3,0.1,3,0.1
76561198035661426,181,7,0.03867403314917127,23.204419889502763,60,0,10,0,0,0,1,0,2,1,2,1,1,1,2,1,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0,0.0,0,0.0,4,0.5714285714285714,1,0.14285714285714285,0,0.0,0,0.0,0,0.0,1,0.14285714285714285,1,0.14285714285714285
76561198135737269,12546,43,0.003427387215048621,2.0564323290291724,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.06976744186046512,4,0.09302325581395349,8,0.18604651162790697,4,0.09302325581395349,6,0.13953488372093023,5,0.11627906976744186,4,0.09302325581395349,5,0.11627906976744186,4,0.09302325581395349
76561198071127906,4110,23,0.00559610705596107,3.3576642335766422,1680,50,2500,0,0,50,7,140,5,2,5,1,1,3,3,5,1.0,0.25,1.0,0.0,0.0,0.5,0.5,0.8,2,0.08695652173913043,0,0.0,5,0.21739130434782608,2,0.08695652173913043,2,0.08695652173913043,4,0.17391304347826086,0,0.0,4,0.17391304347826086,4,0.17391304347826086
76561197986562887,534,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
