steamid,playtime_forever,achievement_count,efficiency_score,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count,playtime_outlier,impossible_survival,zero_achieve_high_playtime,abnormal_behavior_flag,category_activity_mean,category_activity_pca,category_activity_mean_recalc,category_activity_pca_recalc
76561198060737300,1265,16,0.0126482213438735,2,1,3,2,1,3,0,2,2,False,False,False,0,3.2,-2.284358488934185,1.7777777777777777,0.06584075438117938
76561198333940820,416,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197996143905,267,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198033586126,26229,35,0.0013344008540165,2,3,8,4,5,5,1,3,4,False,False,False,0,7.0,18.023462416758836,3.888888888888889,2.9859025117942375
76561197985450983,1414,21,0.0148514851485148,1,2,5,1,3,4,0,3,2,False,False,False,0,4.2,3.2160599400071916,2.3333333333333335,0.5975493962876988
76561198009108702,6129,37,0.0060368738782835,3,4,8,4,5,4,0,5,4,False,False,False,0,7.4,20.101435073960655,4.111111111111111,3.4460121962248484
76561198024926277,140,6,0.0428571428571428,1,0,4,0,0,0,0,0,1,False,False,False,0,1.2,-12.686491203021264,0.6666666666666666,-1.865463264179041
76561197961864608,11417,38,0.0033283699745992,2,4,8,4,5,5,2,4,4,False,False,False,0,7.6,21.130615828975017,4.222222222222222,3.521295173786279
76561198178654229,187,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198041100695,2509,21,0.0083698684734954,1,1,6,1,2,4,0,3,3,False,False,False,0,4.2,3.2574913955919627,2.3333333333333335,0.5744235735326334
76561198040779532,331,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198371608856,952,3,0.0031512605042016,1,0,0,1,0,0,0,0,1,False,False,False,0,0.6,-16.12473354087282,0.3333333333333333,-2.0665321539929873
76561198142797852,3160,26,0.0082278481012658,2,1,6,4,3,3,0,4,3,False,False,False,0,5.2,8.439976567053773,2.888888888888889,1.5989478220650017
76561198150058321,2745,5,0.0018214936247723,0,0,3,1,1,0,0,0,0,False,False,False,0,1.0,-13.739622992108348,0.5555555555555556,-2.1006167744602613
76561197961621019,282,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197979667190,141,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198034493521,1131,15,0.013262599469496,1,0,6,3,2,0,0,1,2,False,False,False,0,3.0,-3.1016689528175654,1.6666666666666667,-0.4064137641169119
76561197986775284,7691,24,0.0031205304901833,1,1,6,2,5,3,0,3,3,False,False,False,0,4.8,6.464530747307158,2.6666666666666665,1.0430270302655786
76561197962838085,38,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197994575642,352,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198010545064,8779,43,0.004898052169951,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561197966617426,839,9,0.0107270560190703,0,0,5,1,1,1,0,0,1,False,False,False,0,1.8,-9.405766472724329,1.0,-1.5357891187112407
76561198219343843,581,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198027616389,13691,35,0.0025564239281279,2,4,7,4,5,5,0,4,4,False,False,False,0,7.0,17.979610375821796,3.888888888888889,3.0609053505997164
76561198046978149,4480,26,0.0058035714285714,2,0,8,2,3,3,1,3,4,False,False,False,0,5.2,8.571950917241413,2.888888888888889,1.430339240635541
76561197971348591,2593,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197978965270,13612,43,0.0031589773729062,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198035839569,152,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198017069455,47677,43,0.0009019023847977,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198019685200,255,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198853553821,2027,20,0.0098667982239763,2,0,6,3,2,2,0,2,3,False,False,False,0,4.0,2.1218550568873695,2.2222222222222223,0.5671529661346195
76561198116820015,2433,43,0.0176736539251952,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198117359053,15457,43,0.0027819111082357,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198014069772,8998,29,0.0032229384307623,2,1,8,4,5,4,0,2,3,False,False,False,0,5.8,11.78277119162842,3.2222222222222223,1.9029395772745339
76561198142453927,278,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198049323874,25739,38,0.0014763588328994,2,4,8,4,6,5,1,4,4,False,False,False,0,7.6,21.192203099530506,4.222222222222222,3.4849692709798674
76561198026840458,1453,19,0.0130763936682725,2,0,7,2,2,1,0,2,3,False,False,False,0,3.8,1.145477074471252,2.111111111111111,0.3069392856975027
76561198339757453,165,10,0.0606060606060606,2,0,4,2,1,0,0,0,1,False,False,False,0,2.0,-8.531744783987701,1.1111111111111112,-1.05039057963913
76561198125238941,181,5,0.0276243093922651,0,0,1,0,4,0,0,0,0,False,False,False,0,1.0,-13.774608869821575,0.5555555555555556,-2.067051617972996
76561197993891197,9428,38,0.0040305473058973,3,4,8,4,5,5,0,5,4,False,False,False,0,7.6,21.1622561114439,4.222222222222222,3.6076504626009958
76561198139094658,624,10,0.016025641025641,1,0,3,1,1,2,0,1,1,False,False,False,0,2.0,-8.51609898240341,1.1111111111111112,-1.1270500442087301
76561198027177776,396,4,0.0101010101010101,0,0,3,0,0,1,0,0,0,False,False,False,0,0.8,-14.79041544382082,0.4444444444444444,-2.2813636482444393
76561198162722657,2330,16,0.0068669527896995,0,0,7,2,2,2,0,1,2,False,False,False,0,3.2,-1.905226713427453,1.7777777777777777,-0.4559433411192312
76561198082831860,3786,25,0.0066032752245113,3,0,6,3,3,3,0,3,4,False,False,False,0,5.0,7.362681479110432,2.7777777777777777,1.5230097214843872
76561198118369799,290,11,0.0379310344827586,1,0,4,1,1,1,0,1,2,False,False,False,0,2.2,-7.421817632247349,1.2222222222222223,-0.9853803558369756
76561198044196794,475,8,0.0168421052631578,0,0,4,0,1,2,0,0,1,False,False,False,0,1.6,-10.496368568696916,0.8888888888888888,-1.672489135646007
76561198064728961,17229,35,0.0020314585872656,2,4,8,4,4,4,1,4,4,False,False,False,0,7.0,17.97513516204454,3.888888888888889,3.035474421654953
76561198152370841,87,2,0.0229885057471264,0,0,1,1,0,0,0,0,0,False,False,False,0,0.4,-17.053612630632664,0.2222222222222222,-2.444307935184589
76561198061305249,237,6,0.0253164556962025,0,0,3,1,1,0,0,0,1,False,False,False,0,1.2,-12.702453698730524,0.6666666666666666,-1.897190254337332
76561198179319487,19974,41,0.0020526684690097,3,4,8,4,6,5,4,3,4,False,False,False,0,8.2,24.19638477779449,4.555555555555555,4.127329567833235
76561198065892602,618,9,0.0145631067961165,1,0,4,3,1,0,0,0,0,False,False,False,0,1.8,-9.545066928814672,1.0,-1.3295909467697622
76561197972436190,187,8,0.0427807486631016,0,0,4,0,1,1,0,1,1,False,False,False,0,1.6,-10.502119855463022,0.8888888888888888,-1.6614944203394912
76561198058007685,477,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197996919908,1069,21,0.019644527595884,2,0,7,3,2,2,1,2,2,False,False,False,0,4.2,3.219155037216897,2.3333333333333335,0.6438620749174572
76561198061981757,10149,28,0.0027588925017243,2,3,8,2,3,4,0,3,3,False,False,False,0,5.6,10.68570892806046,3.111111111111111,1.7558132506937139
76561198027845176,782,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198028385225,15453,43,0.0027826312042969,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561197989858849,1735,17,0.0097982708933717,2,0,5,2,3,3,0,0,2,False,False,False,0,3.4,-1.0379323838959529,1.8888888888888888,0.025688757185980907
76561198978667010,677,4,0.0059084194977843,0,0,3,0,0,0,0,0,1,False,False,False,0,0.8,-14.814067187926238,0.4444444444444444,-2.2395753944976566
76561198024981381,661,14,0.021180030257186,2,0,5,1,1,1,0,2,2,False,False,False,0,2.8,-4.2391718966252405,1.5555555555555556,-0.4386352438356963
76561198052442092,1858,22,0.0118406889128094,2,4,6,1,2,2,0,2,3,False,False,False,0,4.4,4.1970649067113435,2.4444444444444446,0.900261212877071
76561198015723798,790,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198044371709,9276,43,0.0046356188012074,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198082038951,6008,30,0.0049933422103861,1,4,8,1,3,5,0,4,4,False,False,False,0,6.0,12.831183561853994,3.3333333333333335,2.003328960524452
76561198102215048,1791,16,0.0089335566722501,0,0,5,1,2,3,0,3,2,False,False,False,0,3.2,-2.003622402227247,1.7777777777777777,-0.3472588293136434
76561198117913848,2176,27,0.0124080882352941,3,3,5,3,3,4,0,3,3,False,False,False,0,5.4,9.375042575113875,3.0,1.9288564911983836
76561198026478759,72681,43,0.0005916264223111,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198869754826,7711,43,0.005576449228375,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198051194713,2416,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197985946541,426,16,0.0375586854460093,1,4,4,0,1,2,0,2,2,False,False,False,0,3.2,-2.1972269550286434,1.7777777777777777,-0.11954401234977224
76561198037510530,806,13,0.0161290322580645,1,0,5,1,1,1,0,2,2,False,False,False,0,2.6,-5.248814787268735,1.4444444444444444,-0.7128659395293404
76561198001468649,392,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197991133436,1158,17,0.0146804835924006,1,0,7,1,2,2,0,2,2,False,False,False,0,3.4,-0.8740041112611756,1.8888888888888888,-0.20753651242886553
76561197979077108,2435,3,0.0012320328542094,0,0,2,1,0,0,0,0,0,False,False,False,0,0.6,-15.935679536371188,0.3333333333333333,-2.344426500559617
76561198031837797,441,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198019521530,4473,24,0.005365526492287,1,1,6,2,5,2,0,3,4,False,False,False,0,4.8,6.440879003201744,2.6666666666666665,1.084815284012361
76561198044602606,603,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197979934386,1485,18,0.0121212121212121,2,0,6,2,2,2,0,2,2,False,False,False,0,3.6,0.0511957243151925,2.0,0.16526959732574814
76561198022108970,187,5,0.0267379679144385,0,0,4,1,0,0,0,0,0,False,False,False,0,1.0,-13.699813347848233,0.5555555555555556,-2.144663631309673
76561198187410553,2200,23,0.0104545454545454,1,0,7,4,2,4,0,2,3,False,False,False,0,4.6,5.385277374666192,2.5555555555555554,0.9145370865041836
76561197999343610,165,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198005871916,3346,43,0.0128511655708308,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198092221120,7679,43,0.0055996874593045,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198026564874,412,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198014882529,536,13,0.0242537313432835,1,0,3,4,3,1,0,0,1,False,False,False,0,2.6,-5.375272753018004,1.4444444444444444,-0.5780941632609482
76561198066184606,30,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
