steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,playtime_hours,achievement_ratio,efficiency,stage1_speed_kmeans,stage1_speed_gmm
76561198000388603,22470,32,8,1.0,8,0.5333333333333333,6,1.0,1,0.25,5,1.0,4,0.8,1680,5000,500,0,8,1000,1,300,374.5,0.7441860465116279,0.0019871456515611237,Slow,Normal
76561198174102790,383,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,6.383333333333334,1.0,0.15665796342193347,Effective,Effective
76561198025111129,188,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3.1333333333333333,0.0,0.0,Normal,Slow
76561197995281961,570,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,9.5,0.0,0.0,Normal,Slow
76561199158305270,7187,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,119.78333333333333,1.0,0.008348406845623917,Slow,Normal
76561198006766715,11189,40,8,1.0,15,1.0,4,0.6666666666666666,3,0.75,5,1.0,5,1.0,1680,5000,2500,25,10,50,14,300,186.48333333333332,0.9302325581395349,0.00498828791563793,Slow,Normal
76561198018254158,19566,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,326.1,1.0,0.0030665440048970667,Slow,Normal
76561198033624455,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.6333333333333333,0.0,0.0,Normal,Slow
76561197976469696,13286,29,8,1.0,8,0.5333333333333333,5,0.8333333333333334,1,0.25,5,1.0,2,0.4,180,5000,500,0,8,250,1,300,221.43333333333334,0.6744186046511628,0.0030456959415088836,Slow,Normal
76561197994575642,352,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,5.866666666666666,0.0,0.0,Normal,Slow
76561198067208458,529,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,8.816666666666666,0.0,0.0,Normal,Slow
76561198840301773,1619,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,26.983333333333334,1.0,0.037059913525495,Slow,Effective
76561198197031430,253,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4.216666666666667,0.0,0.0,Normal,Slow
76561198025618418,9321,37,8,1.0,11,0.7333333333333333,6,1.0,4,1.0,4,0.8,4,0.8,1680,5000,2500,0,10,1000,28,140,155.35,0.8604651162790697,0.005538880696965117,Slow,Normal
76561198047414009,3730,33,8,1.0,10,0.6666666666666666,5,0.8333333333333334,4,1.0,3,0.6,3,0.6,600,5000,500,0,10,250,28,70,62.166666666666664,0.7674418604651163,0.012344909283422597,Slow,Normal
76561198344068866,2555,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,42.583333333333336,1.0,0.023483365948567907,Slow,Normal
76561198081999502,22734,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,378.9,1.0,0.0026392187912308283,Slow,Normal
76561198153525620,10724,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,178.73333333333332,1.0,0.00559492726591424,Slow,Normal
76561198275649621,3225,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,53.75,1.0,0.018604651162444565,Slow,Normal
76561197990481530,361,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,6.016666666666667,0.0,0.0,Normal,Slow
76561198217979953,347,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,5.783333333333333,0.0,0.0,Normal,Slow
76561198041885150,133,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2.216666666666667,0.0,0.0,Normal,Slow
76561198128578271,386,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,6.433333333333334,1.0,0.1554404144836103,Effective,Effective
76561197962838085,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.6333333333333333,0.0,0.0,Normal,Slow
76561198081008157,390,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,6.5,0.0,0.0,Normal,Slow
76561197989446733,47560,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,792.6666666666666,1.0,0.0012615643397797373,Slow,Normal
76561198057078777,8138,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,135.63333333333333,1.0,0.007372818874361961,Slow,Normal
76561197967540452,1490,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,24.833333333333332,0.0,0.0,Normal,Slow
76561198083142373,716,3,3,0.375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,11.933333333333334,0.06976744186046512,0.005846433674968046,Normal,Normal
76561198024926277,140,6,4,0.5,2,0.1333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,50,10,0,0,0,0,0,2.3333333333333335,0.13953488372093023,0.05980066442619838,Normal,Effective
76561198159216159,297,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4.95,0.0,0.0,Normal,Slow
