steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,efficiency_score,playtime_hours,engagement,achievement_efficiency,log_playtime,achievement_per_hour,player_segment
76561197995281961,570,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,9.5,Dedicated (8-20h),0.0,2.3513752571634776,0.0,Casual Explorers
76561198197031430,253,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,4.216666666666667,Casual (<4h),0.0,1.6518586283180525,0.0,Casual Explorers
76561198174102790,383,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.1122715404699739,6.383333333333334,Regular (4-8h),6.736292428198433,1.999225207823035,0.11226860917469518,Efficient Achievers
76561198033624455,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.6333333333333333,Casual (<4h),0.0,0.4906229164484712,0.0,Casual Explorers
76561197994575642,352,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5.866666666666666,Regular (4-8h),0.0,1.9266787871274256,0.0,Casual Explorers
76561198840301773,1619,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0265596046942557,26.983333333333334,Hardcore (>20h),1.5935762816553427,3.33160909485544,0.02655944064582677,Non-Achievers
76561198067208458,529,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8.816666666666666,Dedicated (8-20h),0.0,2.284081621429486,0.0,Casual Explorers
76561197973230221,160,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.6666666666666665,Casual (<4h),0.0,1.2992829841302609,0.0,Casual Explorers
76561198159216159,297,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,4.95,Regular (4-8h),0.0,1.7833912195575383,0.0,Casual Explorers
76561198047414009,3730,33,8,1.0,10,0.6666666666666666,5,0.8333333333333334,4,1.0,3,0.6,3,0.6,0.0088471849865951,62.166666666666664,Hardcore (>20h),0.5308310991957105,4.145776735854371,0.008847161267664161,Deep Engagers
76561198141150947,182,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3.033333333333333,Casual (<4h),0.0,1.3945931639345857,0.0,Casual Explorers
76561197979667190,141,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.35,Casual (<4h),0.0,1.208960345836975,0.0,Casual Explorers
76561198344068866,2555,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0168297455968688,42.583333333333336,Hardcore (>20h),1.009784735812133,3.774674814276923,0.01682967972728091,Non-Achievers
76561197990481530,361,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6.016666666666667,Regular (4-8h),0.0,1.9482882714602807,0.0,Casual Explorers
76561198275649621,3225,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0133333333333333,53.75,Hardcore (>20h),0.8,4.00277736869661,0.013333291989792278,Deep Engagers
76561198081008157,390,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6.5,Regular (4-8h),0.0,2.0149030205422647,0.0,Casual Explorers
76561197962838085,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.6333333333333333,Casual (<4h),0.0,0.4906229164484712,0.0,Casual Explorers
76561198128578271,386,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.1113989637305699,6.433333333333334,Regular (4-8h),6.683937823834197,2.0059743897979634,0.1113960778218181,Efficient Achievers
76561198024926277,140,6,4,0.5,2,0.1333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0.0428571428571428,2.3333333333333335,Casual (<4h),2.571428571428571,1.2039728043259361,0.04285408185129634,Casual Explorers
76561198217979953,347,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5.783333333333333,Regular (4-8h),0.0,1.9144686232204944,0.0,Casual Explorers
76561198041885150,133,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.216666666666667,Casual (<4h),0.0,1.168345626682785,0.0,Casual Explorers
76561198083142373,716,3,3,0.375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0041899441340782,11.933333333333334,Dedicated (8-20h),0.25139664804469275,2.559807957961118,0.00418988561612268,Casual Explorers
76561197997946137,439,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7.316666666666666,Regular (4-8h),0.0,2.118261533529418,0.0,Casual Explorers
76561198023327915,176,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.933333333333333,Casual (<4h),0.0,1.3694872428035094,0.0,Casual Explorers
76561198079772364,129,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.15,Casual (<4h),0.0,1.1474024528375417,0.0,Casual Explorers
76561197993579927,5231,32,7,0.875,10,0.6666666666666666,3,0.5,4,1.0,4,0.8,4,0.8,0.0061173771745364,87.18333333333334,Hardcore (>20h),0.36704263047218505,4.479417980682031,0.006117365480088931,Deep Engagers
76561198058291396,559,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,9.316666666666666,Dedicated (8-20h),0.0,2.3337607104624953,0.0,Casual Explorers
76561198879405845,429,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7.15,Regular (4-8h),0.0,2.0980179272527715,0.0,Casual Explorers
76561198001873585,309,2,0,0.0,2,0.1333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0.0064724919093851,5.15,Regular (4-8h),0.3883495145631068,1.8164520818184267,0.006472282450406136,Casual Explorers
76561199257765441,1395,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0308243727598566,23.25,Hardcore (>20h),1.8494623655913978,3.188416617383492,0.030824151798194994,Non-Achievers
76561198971959226,800,13,5,0.625,3,0.2,1,0.1666666666666666,2,0.5,1,0.2,1,0.2,0.01625,13.333333333333334,Dedicated (8-20h),0.975,2.662587827025453,0.01624979687753903,Casual Explorers
76561198187410553,2200,23,7,0.875,4,0.2666666666666666,2,0.3333333333333333,4,1.0,4,0.8,2,0.4,0.0104545454545454,36.666666666666664,Hardcore (>20h),0.6272727272727273,3.628775530044231,0.010454497934100299,Non-Achievers
76561198048285800,254,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.1692913385826771,4.233333333333333,Casual (<4h),10.15748031496063,1.6550484236861527,0.16928467383173892,Efficient Achievers
76561198032591844,888,7,4,0.5,1,0.0666666666666666,0,0.0,1,0.25,1,0.2,0,0.0,0.0078828828828828,14.8,Dedicated (8-20h),0.47297297297297297,2.760009940032921,0.007882794112678912,Casual Explorers
76561198000413287,484,6,1,0.125,2,0.1333333333333333,1,0.1666666666666666,2,0.5,0,0.0,0,0.0,0.012396694214876,8.066666666666666,Dedicated (8-20h),0.7438016528925621,2.204604684633842,0.012396438090122105,Casual Explorers
76561198007609033,535,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8.916666666666666,Dedicated (8-20h),0.0,2.294216843323529,0.0,Casual Explorers
76561198352272979,3365,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.012778603268945,56.083333333333336,Hardcore (>20h),0.7667161961367013,4.044512188474225,0.012778565294011012,Deep Engagers
76561198249392362,403,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6.716666666666667,Regular (4-8h),0.0,2.0433824918641332,0.0,Casual Explorers
76561197971204006,588,4,3,0.375,1,0.0666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0.0068027210884353,9.8,Dedicated (8-20h),0.4081632653061224,2.379546134130174,0.006802605397867383,Casual Explorers
76561198004006226,517,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8.616666666666667,Dedicated (8-20h),0.0,2.263497704285999,0.0,Casual Explorers
76561198994062628,2430,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0176954732510288,40.5,Hardcore (>20h),1.0617283950617284,3.7256934272366524,0.0176954004304509,Non-Achievers
76561198995500311,1152,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0373263888888888,19.2,Dedicated (8-20h),2.2395833333333335,3.005682604407159,0.03732606487790904,Non-Achievers
76561198041298094,744,18,5,0.625,8,0.5333333333333333,1,0.1666666666666666,2,0.5,1,0.2,1,0.2,0.0241935483870967,12.4,Dedicated (8-20h),1.4516129032258065,2.5952547069568657,0.024193223209365466,Casual Explorers
76561198060410834,2671,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,44.516666666666666,Hardcore (>20h),0.0,3.8180785592516044,0.0,Casual Explorers
76561198407772607,183,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.2349726775956284,3.05,Casual (<4h),14.098360655737705,1.3987168811184478,0.23495983826020436,Efficient Achievers
76561198034096440,5330,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,0.0080675422138836,88.83333333333333,Hardcore (>20h),0.4840525328330207,4.497956101680942,0.00806752707781036,Deep Engagers
76561198207088253,222,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3.7,Casual (<4h),0.0,1.547562508716013,0.0,Casual Explorers
76561198043828654,438,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7.3,Regular (4-8h),0.0,2.1162555148025524,0.0,Casual Explorers
76561198843434426,1032,16,5,0.625,4,0.2666666666666666,2,0.3333333333333333,3,0.75,1,0.2,1,0.2,0.0155038759689922,17.2,Dedicated (8-20h),0.9302325581395349,2.9014215940827497,0.015503725739091676,Casual Explorers
76561198062505918,4190,7,5,0.625,1,0.0666666666666666,0,0.0,1,0.25,0,0.0,0,0.0,0.0016706443914081,69.83333333333333,Hardcore (>20h),0.10023866348448689,4.260329699696362,0.0016706404041995125,Deep Engagers
76561198368799839,456,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7.6,Regular (4-8h),0.0,2.151762203259462,0.0,Casual Explorers
