steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,efficiency,efficiency_cap,stage1_speed,stage1_speed_KMeans,stage1_speed_GMM,stage1_speed_Agglomerative,stage2_persona,log_play,cheater_flag
76561198167940370,6290,20,5,0.625,5,0.3333333333333333,2,0.3333333333333333,4,1.0,2,0.4,2,0.4,180,50,100,1,0,50,28,28,0.003179650238473262,0.003179650238473262,Slow,Normal,Normal,Normal,5.0,8.74687531957003,False
76561197969417973,4907,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.008762991644587576,0.008762991644587576,Normal,Normal,Normal,Normal,1.0,8.498621805830801,False
76561197985841875,194,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.272999558563747,False
76561198033808029,272,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.60947179518496,False
76561198094413234,3492,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.012313860252001055,0.012313860252001055,Normal,Normal,Normal,Normal,1.0,8.158516244806831,False
76561198335061024,454,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.12029741895095,False
76561197970389924,39861,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0010787486515641586,0.0010787486515641586,Slow,Normal,Normal,Normal,1.0,10.593178768122684,False
76561198040178115,397,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.986452005284438,False
76561198353518467,6941,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.006195072756086126,0.006195072756086126,Slow,Normal,Normal,Normal,1.0,8.845345196421732,False
76561198051177321,1459,13,6,0.75,2,0.1333333333333333,1,0.1666666666666666,1,0.25,1,0.2,2,0.4,180,500,10,0,0,10,1,7,0.008910212474291357,0.008910212474291357,Normal,Normal,Normal,Normal,5.0,7.286191714702382,False
