steamid,playtime_forever,achievement_count,crafting_count,combat_count,exploration_count,death_count,leveling_count,survival_count,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,log_playtime,ach_per_10h,crafting_count_rank,combat_count_rank,exploration_count_rank,leveling_count_rank,survival_count_rank,max_death_count_rank,max_survive_minutes_ord,max_items_crafted_ord,max_zombies_killed_ord,max_players_killed_ord,max_fortitude_skill_ord,max_travel_distance_ord,max_death_count_ord,max_character_level_ord,max_death_count_rank_ord,Cluster
76561198167940370,6290,20,5,5,2,4,2,2,180,50,100,1,0,50,28,28,8.74687531957003,1.9077899611011169,0.625,0.3333333333333333,0.3333333333333333,0.4,0.4,1.0,0,0,0,0,0,0,1,0,1,0
76561197969417973,4907,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.498621805830801,5.257794343860485,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561197985841875,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.272999558563747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561199024473554,418,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,6.037870919922137,61.7223994415319,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198033808029,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60947179518496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198094413234,3492,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.158516244806831,7.388314881732837,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198335061024,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12029741895095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561197970389924,39861,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,10.593178768122684,0.6472491811959181,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198040178115,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.986452005284438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198353518467,6941,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.845345196421732,3.717043332340297,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198051177321,1459,13,6,2,1,1,1,2,180,500,10,0,0,10,1,7,7.286191714702382,5.346125286034837,0.75,0.13333333333333333,0.16666666666666666,0.2,0.4,0.03571428571428571,0,0,0,0,0,0,0,0,0,0
76561198083787826,201888,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,12.21547332039967,0.1277936277704659,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198046878168,359,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.886104031450156,3.342612797861619,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198000388603,22470,32,8,8,6,1,5,4,1680,5000,500,0,8,1000,1,300,10.019980867971933,0.8544726073572068,1.0,0.5333333333333333,1.0,1.0,0.8,0.03571428571428571,1,1,0,0,0,1,0,1,0,1
76561198174102790,383,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,5.950642552587727,67.36281875276435,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
