,steamid,earliest_unlock,latest_unlock,total_achievements,duration_days,duration_hours,playtime_forever,achievement_efficiency
165,76561198005871916,2023-06-24 14:50:51+00:00,2023-07-08 12:48:28+00:00,43,13.915011574074073,333.9602777777778,55.766666666666666,0.7710699342498506
166,76561198006248231,2016-10-05 23:22:36+00:00,2023-06-28 12:55:11+00:00,30,2456.5642939814816,58957.54305555556,72.13333333333334,0.4158964879852125
167,76561198006268674,2016-12-24 22:19:22+00:00,2025-03-19 19:23:27+00:00,43,3006.877835648148,72165.06805555556,241.93333333333334,0.17773491319922843
168,76561198006268774,2019-10-25 07:14:33+00:00,2021-08-25 15:38:41+00:00,6,670.3500925925925,16088.402222222223,9.466666666666667,0.6338028169014085
169,76561198006697906,2019-11-18 16:10:27+00:00,2024-04-11 12:05:21+00:00,5,1605.8297916666668,38539.915,10.816666666666666,0.4622496147919877
170,76561198006725990,2020-12-06 09:30:35+00:00,2020-12-06 18:05:41+00:00,11,0.35770833333333335,8.585,20.833333333333332,0.528
171,76561198006766715,2016-09-17 17:58:54+00:00,2024-05-04 06:19:48+00:00,40,2785.514513888889,66852.34833333333,186.48333333333332,0.2144963803735812
172,76561198007893547,2018-08-26 04:55:16+00:00,2023-01-16 16:07:24+00:00,40,1604.4667592592593,38507.20222222222,473.56666666666666,0.08446540437812346
173,76561198007989044,2022-04-08 09:21:57+00:00,2022-04-08 17:30:12+00:00,5,0.3390625,8.1375,1.1166666666666667,4.477611940298507
174,76561198008085425,2016-12-29 08:47:48+00:00,2017-04-22 12:00:42+00:00,21,114.13395833333334,2739.215,39.96666666666667,0.5254378648874062
175,76561198009108702,2024-10-06 07:55:31+00:00,2025-03-11 09:38:02+00:00,37,156.07119212962962,3745.708611111111,102.15,0.3622124326970142
176,76561198009474997,2021-04-21 10:24:42+00:00,2023-06-28 11:20:08+00:00,43,798.0384953703704,19152.92388888889,50.583333333333336,0.8500823723228995
177,76561198009717070,2020-12-23 12:29:56+00:00,2022-05-10 12:05:02+00:00,40,502.98270833333333,12071.585,242.25,0.1651186790505676
178,76561198010287383,2017-10-28 07:57:20+00:00,2023-10-06 15:30:43+00:00,35,2169.314849537037,52063.55638888889,376.6166666666667,0.0929326901801124
179,76561198010323350,2018-11-03 17:45:35+00:00,2018-11-06 15:23:59+00:00,8,2.901666666666667,69.64,2.85,2.807017543859649
180,76561198011348528,2017-01-28 22:34:45+00:00,2022-10-09 20:07:54+00:00,21,2079.8980208333332,49917.5525,42.916666666666664,0.4893203883495146
181,76561198011368261,2018-10-28 02:26:13+00:00,2022-10-15 05:51:54+00:00,39,1448.142835648148,34755.42805555555,884.5833333333334,0.04408855393311352
182,76561198011389008,2016-10-06 11:21:12+00:00,2022-11-02 11:43:03+00:00,43,2218.015173611111,53232.364166666666,407.76666666666665,0.10545246464481321
183,76561198011629103,2018-12-02 12:29:37+00:00,2024-01-28 13:59:27+00:00,43,1883.0623842592593,45193.49722222222,305.23333333333335,0.14087583269629791
184,76561198012393379,2023-01-04 08:39:18+00:00,2023-01-04 08:48:28+00:00,2,0.00636574074074074,0.1527777777777778,34.7,0.05763688760806916
185,76561198012557600,2020-07-11 12:36:46+00:00,2024-03-23 20:39:04+00:00,23,1351.3349305555555,32432.038333333334,28.866666666666667,0.7967667436489607
186,76561198012881777,2019-10-27 14:44:30+00:00,2024-08-18 14:17:51+00:00,7,1756.9814930555556,42167.55583333333,7.116666666666666,0.9836065573770493
187,76561198013143519,2018-11-19 13:09:22+00:00,2018-11-19 14:32:57+00:00,7,0.05804398148148148,1.3930555555555555,1.7333333333333334,4.038461538461538
188,76561198013261863,2020-12-10 20:15:10+00:00,2025-07-06 12:57:19+00:00,10,1668.6959375,40048.7025,7.05,1.4184397163120568
189,76561198013369902,2020-10-24 07:18:57+00:00,2021-07-23 15:58:48+00:00,15,272.36100694444445,6536.6641666666665,37.95,0.3952569169960474
190,76561198013566220,2023-11-04 14:26:17+00:00,2024-02-22 19:30:01+00:00,43,110.21092592592592,2645.0622222222223,329.21666666666664,0.13061307143218753
191,76561198014470876,2018-10-16 14:32:22+00:00,2023-09-19 12:54:57+00:00,43,1798.932349537037,43174.376388888886,309.45,0.13895621263532074
192,76561198015122447,2023-04-23 18:38:02+00:00,2023-04-28 05:07:46+00:00,24,4.4373148148148145,106.49555555555555,22.8,1.0526315789473684
193,76561198015749826,2024-07-26 06:04:26+00:00,2024-07-28 08:45:57+00:00,14,2.112164351851852,50.691944444444445,22.016666666666666,0.6358819076457229
194,76561198015859524,2022-09-14 11:36:10+00:00,2022-09-17 04:40:31+00:00,43,2.7113541666666667,65.0725,38.4,1.1197916666666667
195,76561198016291889,2024-11-14 18:42:39+00:00,2024-11-14 19:40:47+00:00,3,0.04037037037037037,0.9688888888888889,1.6,1.875
196,76561198016344025,2023-07-29 12:26:28+00:00,2023-08-12 13:44:14+00:00,13,14.05400462962963,337.2961111111111,12.366666666666667,1.0512129380053907
197,76561198016838181,2016-11-30 15:35:29+00:00,2024-08-09 19:12:10+00:00,32,2809.150474537037,67419.6113888889,185.13333333333333,0.17284839755131437
198,76561198017401678,2020-09-09 15:45:45+00:00,2022-07-22 14:58:06+00:00,43,680.9669097222222,16343.205833333333,107.26666666666667,0.40087010565568676
199,76561198017412419,2022-02-01 14:57:52+00:00,2022-06-16 12:58:12+00:00,43,134.91689814814814,3238.0055555555555,101.3,0.42448173741362294
200,76561198017412459,2020-03-28 14:29:39+00:00,2022-04-25 14:59:44+00:00,33,758.0208912037037,18192.50138888889,101.0,0.32673267326732675
