steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level
76561198161310076,333,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198160320827,5288,23,6,0.75,5,0.3333333333333333,3,0.5,2,0.5,3,0.6,4,0.8,1680,500,500,0,4,50,7,70
76561198076917180,6866,38,7,0.875,15,1.0,4,0.6666666666666666,4,1.0,4,0.8,4,0.8,1680,1500,2500,25,10,250,28,140
76561198173819274,12472,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198009474997,3035,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198187763739,812,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198007759830,74,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198165492519,229,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198049211014,523,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197981111953,139,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198870916350,4376,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198821184379,91046,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561199053439300,222,9,5,0.625,3,0.2,0,0.0,1,0.25,0,0.0,0,0.0,0,50,10,0,0,0,1,0
76561198249392362,403,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198121098268,24749,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198041689171,2575,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197974925353,8053,34,8,1.0,10,0.6666666666666666,3,0.5,4,1.0,5,1.0,4,0.8,1680,5000,2500,0,10,250,28,300
76561198130370824,475,15,2,0.25,5,0.3333333333333333,4,0.6666666666666666,4,1.0,0,0.0,0,0.0,0,0,0,25,0,1000,28,0
76561198001500827,22654,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198350365789,4887,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198000000375,964,4,3,0.375,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,0,0,0,0,0,0,1,0
76561198015859524,2304,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198026716698,344,5,3,0.375,1,0.06666666666666667,0,0.0,1,0.25,0,0.0,0,0.0,0,0,10,0,0,0,1,0
76561198858649255,2145,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198404991183,127,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198065617084,426,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198081257465,507,4,3,0.375,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,0,0,0,0,0,0,1,0
76561198019184877,547,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198119650667,4635,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198019621629,11955,31,8,1.0,7,0.4666666666666667,3,0.5,4,1.0,5,1.0,4,0.8,1680,5000,2500,0,4,250,28,300
76561197964914532,14454,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198067040444,413,7,2,0.25,1,0.06666666666666667,1,0.16666666666666666,1,0.25,1,0.2,1,0.2,60,0,10,0,0,10,1,7
76561199032279097,2979,38,8,1.0,14,0.9333333333333333,4,0.6666666666666666,4,1.0,4,0.8,4,0.8,600,5000,500,25,10,50,28,140
76561197972616894,4254,16,5,0.625,3,0.2,2,0.3333333333333333,2,0.5,2,0.4,2,0.4,180,50,100,0,0,10,7,28
76561198089139675,153124,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198441849452,18300,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197979803978,474,12,4,0.5,2,0.13333333333333333,1,0.16666666666666666,1,0.25,2,0.4,2,0.4,180,50,10,0,0,10,1,28
76561197998949214,7315,34,7,0.875,11,0.7333333333333333,5,0.8333333333333334,3,0.75,5,1.0,3,0.6,600,1500,2500,1,10,250,14,300
76561197982617834,170,10,4,0.5,1,0.06666666666666667,1,0.16666666666666666,1,0.25,2,0.4,1,0.2,60,0,10,0,0,10,1,28
76561198050890851,547,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198093999461,251,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561197991757040,17518,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561198041891495,168,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561199139776481,11606,8,0,0.0,6,0.4,1,0.16666666666666666,0,0.0,1,0.2,0,0.0,0,0,10,0,10,10,0,7
76561197961864608,11417,38,8,1.0,12,0.8,5,0.8333333333333334,4,1.0,5,1.0,4,0.8,1680,5000,2500,5,10,250,28,300
76561198338219143,4523,29,5,0.625,10,0.6666666666666666,3,0.5,3,0.75,4,0.8,4,0.8,1680,50,500,0,10,50,14,140
76561198126267465,11157,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300
76561197993312863,151,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
76561198112672661,165,3,2,0.25,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,0,0,0,0,0,0,1,0
