steamid,playtime_capped,log_playtime_capped,achievement_count,is_full_completion,crafting_rank,combat_rank,exploration_rank,death_rank,leveling_rank,survival_rank,crafting_z,combat_z,exploration_z,death_z,leveling_z,survival_z,max_survive_minutes_tier,max_items_crafted_tier,max_zombies_killed_tier,max_players_killed_tier,max_fortitude_skill_tier,max_travel_distance_tier,max_death_count_tier,max_character_level_tier
76561198050468382,526.0,6.267200548541362,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561197969226943,279.0,5.634789603169249,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561197961444200,1479.0,7.299797366758161,19,0,0.5238508239375542,0.6348655680832611,0.21205550737207285,0.18430182133564615,0.6767129228100607,0.6498265394622723,0.2258497099284607,0.237505288608955,-0.944340632672741,-1.0653635505252503,0.8699651405188173,0.5068281157262262,3,2,1,0,4,0,0,4
76561198000877379,6381.0,8.76123680683819,43,1,0.8391153512575888,0.898959236773634,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,1.5811107974277232,1.4565959703518903,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,4,4,4,4,5
76561198017069455,47677.0,10.772225354550736,43,1,0.8391153512575888,0.898959236773634,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,1.5811107974277232,1.4565959703518903,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,4,4,4,4,5
76561198062255168,907.0,6.811244378601294,17,0,0.6467909800520382,0.5032523850823938,0.5498699045967043,0.6337814397224631,0.4841717259323504,0.48829141370338247,0.821400803233241,-0.43429746580042905,-0.14402843166453058,0.668797635953263,-0.5012854500733857,-0.45668848350269187,1,3,2,0,0,2,3,1
76561197975440895,625.0,6.439350371100098,18,0,0.5238508239375542,0.5032523850823938,0.5498699045967043,0.6337814397224631,0.6112315698178664,0.5702515177797051,0.2258497099284607,-0.43429746580042905,-0.14402843166453058,0.668797635953263,0.41288161032141635,0.025069816111767163,2,1,2,0,0,2,3,3
76561197995240388,897.0,6.8001700683022,10,0,0.44904596704249783,0.383347788378144,0.46856027753686036,0.4451431049436253,0.4841717259323504,0.5702515177797051,-0.07192583672392946,-0.7701988430051211,-0.5441845321686358,-0.48730982169907927,-0.5012854500733857,0.025069816111767163,2,1,1,0,0,1,1,1
76561198106145311,419.0,6.040254711277414,3,0,0.38746747614917604,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-0.36970138337631964,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561197984916346,2848.0,7.954723334497908,28,0,0.5899826539462273,0.6075455333911535,0.674978317432784,0.8356461405030355,0.8568950563746748,0.6498265394622723,0.5236252565808509,0.06955460000660897,0.6562837693436799,1.2468513647794344,1.3270486707162183,0.5068281157262262,2,3,3,0,1,2,4,5
76561197965244835,224.0,5.41610040220442,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198041031091,715.0,6.573680166960646,13,0,0.44904596704249783,0.5409800520381614,0.46856027753686036,0.5591934084995663,0.4841717259323504,0.48829141370338247,-0.07192583672392946,-0.26634677719808303,-0.5441845321686358,0.0907439071270919,-0.5012854500733857,-0.45668848350269187,1,1,2,0,0,1,2,1
76561198047517097,8932.0,9.09750756370184,32,0,0.8391153512575888,0.6836513443191674,0.674978317432784,0.8356461405030355,0.6767129228100607,0.6498265394622723,1.119176349885631,0.5734066658136471,0.6562837693436799,1.2468513647794344,0.8699651405188173,0.5068281157262262,3,4,4,0,2,3,4,4
76561199086020529,460.0,6.133398042996649,7,0,0.44904596704249783,0.17454466608846486,0.21205550737207285,0.4451431049436253,0.5513876843018214,0.22376409366869038,-0.07192583672392946,-0.9381495316074672,-0.944340632672741,-0.48730982169907927,-0.044201919875984645,-0.9384467831171509,0,0,0,0,0,0,1,2
76561198077387115,28326.0,10.251570692406156,38,0,0.8391153512575888,0.7476149176062445,0.73438855160451,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,0.909308043018339,1.056439869847785,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,0,4,4,4,5
76561198103648546,143.0,4.969813299576001,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561197972625086,1642.0,7.404279118037268,7,0,0.3467042497831743,0.5032523850823938,0.21205550737207285,0.4451431049436253,0.22419774501300954,0.48829141370338247,-0.6674769300287098,-0.43429746580042905,-0.944340632672741,-0.48730982169907927,-0.9583689802707865,-0.45668848350269187,1,0,1,0,1,0,1,0
76561199109080778,1894.0,7.546974117516527,18,0,0.5238508239375542,0.5409800520381614,0.46856027753686036,0.6337814397224631,0.6767129228100607,0.48829141370338247,0.2258497099284607,-0.26634677719808303,-0.5441845321686358,0.668797635953263,0.8699651405188173,-0.45668848350269187,1,1,2,0,0,1,3,4
76561198213368405,465.0,6.144185634125646,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198003232563,1592.0,7.373374309910049,9,0,0.5238508239375542,0.45013009540329574,0.21205550737207285,0.4451431049436253,0.22419774501300954,0.48829141370338247,0.2258497099284607,-0.6022481544027751,-0.944340632672741,-0.48730982169907927,-0.9583689802707865,-0.45668848350269187,1,1,1,0,0,0,1,0
76561198043892935,45618.0,10.728079575387694,33,0,0.8391153512575888,0.6348655680832611,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.6498265394622723,1.119176349885631,0.237505288608955,1.4565959703518903,1.2468513647794344,1.3270486707162183,0.5068281157262262,3,4,4,0,1,4,4,5
76561198012913284,4579.0,8.429454277108231,28,0,0.8391153512575888,0.6348655680832611,0.674978317432784,0.6337814397224631,0.6112315698178664,0.6498265394622723,1.119176349885631,0.237505288608955,0.6562837693436799,0.668797635953263,0.41288161032141635,0.5068281157262262,3,4,4,0,1,3,3,3
76561198105390244,349.0,5.857933154483459,12,0,0.38746747614917604,0.45013009540329574,0.46856027753686036,0.4451431049436253,0.6112315698178664,0.5702515177797051,-0.36970138337631964,-0.6022481544027751,-0.5441845321686358,-0.48730982169907927,0.41288161032141635,0.025069816111767163,2,1,1,1,0,1,1,3
76561198085422954,760.0,6.634633357861686,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198296685552,133.0,4.897839799950911,3,0,0.3467042497831743,0.17454466608846486,0.21205550737207285,0.4451431049436253,0.22419774501300954,0.22376409366869038,-0.6674769300287098,-0.9381495316074672,-0.944340632672741,-0.48730982169907927,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,1,0
76561198071221914,12374.0,9.423433587436891,19,0,0.6467909800520382,0.5409800520381614,0.5498699045967043,0.4451431049436253,0.6767129228100607,0.48829141370338247,0.821400803233241,-0.26634677719808303,-0.14402843166453058,-0.48730982169907927,0.8699651405188173,-0.45668848350269187,1,4,2,0,0,2,1,4
76561198023114816,4865.0,8.490027523343468,39,0,0.8391153512575888,0.7818733738074588,0.73438855160451,0.8356461405030355,0.6767129228100607,0.888551604509974,1.119176349885631,1.245209420223031,1.056439869847785,1.2468513647794344,0.8699651405188173,1.4703447149551443,4,4,3,4,4,3,4,4
76561197971424010,6952.0,8.846928500099018,26,0,0.5899826539462273,0.5752385082393755,0.617736339982654,0.8356461405030355,0.6767129228100607,0.7326539462272333,0.5236252565808509,-0.09839608859573704,0.25612766883957466,1.2468513647794344,0.8699651405188173,0.9885864153406853,4,3,4,0,0,3,4,4
76561198108620000,1264.0,7.142827401161621,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198015279263,454.0,6.12029741895095,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198025375592,166.0,5.117993812416755,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198067054277,30536.0,10.32669434212045,43,1,0.8391153512575888,0.898959236773634,0.8839982653946227,0.8356461405030355,0.8568950563746748,0.888551604509974,1.119176349885631,1.5811107974277232,1.4565959703518903,1.2468513647794344,1.3270486707162183,1.4703447149551443,4,4,4,4,4,4,4,5
76561197978785613,384.0,5.953243334287785,0,0,0.15546400693842152,0.17454466608846486,0.21205550737207285,0.18430182133564615,0.22419774501300954,0.22376409366869038,-1.26302802333349,-0.9381495316074672,-0.944340632672741,-1.0653635505252503,-0.9583689802707865,-0.9384467831171509,0,0,0,0,0,0,0,0
76561198344365498,1115.0,7.017506142941256,24,0,0.44904596704249783,0.6580659150043365,0.5498699045967043,0.8356461405030355,0.6767129228100607,0.5702515177797051,-0.07192583672392946,0.405455977211301,-0.14402843166453058,1.2468513647794344,0.8699651405188173,0.025069816111767163,2,1,3,1,1,2,4,4
76561198016946768,210.0,5.351858133476067,8,0,0.44904596704249783,0.383347788378144,0.46856027753686036,0.5591934084995663,0.22419774501300954,0.22376409366869038,-0.07192583672392946,-0.7701988430051211,-0.5441845321686358,0.0907439071270919,-0.9583689802707865,-0.9384467831171509,0,0,1,0,0,1,2,0
